ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0042274,ribosomal small subunit biogenesis,33,0.522279214,1.92941606,0.001898929,0.049179506,0.044286605,381,"tags=42%, list=16%, signal=36%",RPS13/RPS25/RPS28/RPS27/RPS14/RPS17/RPS15A/RPS27A/RPS21/RPS15/FAU/TRMT112/RPS19BP1/RPS16
GO:0002449,lymphocyte mediated immunity,61,0.463024556,1.921595756,0.000305213,0.012671786,0.011411061,160,"tags=23%, list=7%, signal=22%",HLA-B/B2M/HLA-C/IGKC/IGHV1-18/IRF7/IGHV7-4-1/IGHV3-23/RSAD2/NKG7/HSPA8/IGHV3-11/SERPING1/IL7R
GO:0006952,defense response,370,0.359731417,1.886967533,6.95E-08,8.98E-06,8.08E-06,390,"tags=27%, list=16%, signal=27%",RPL30/IFITM1/IFI27/NEAT1/HLA-B/IFITM3/B2M/HLA-C/ISG15/RPL39/MX1/S100A8/NCF1/IFI44L/ISG20/IRF7/IFIT1/IFIT3/IFI6/RSAD2/COTL1/PPBP/GNLY/IL32/CSF3R/DEFA3/APOBEC3A/MX2/NKG7/CFP/JCHAIN/HERC5/AOAH/CCL5/GBP1/TMEM258/SIGLEC1/STAT1/HSPA8/PSMA6/IFITM2/PLAC8/IFIT2/LILRB2/OAS3/GBP5/SERPING1/DDX60L/OAS1/OASL/IL7R/EXT1/CXCL10/PRKCE/UBE2L6/NT5C3A/PSMA1/TRIM22/RNF213/EIF2AK2/PLSCR1/BCL2/IL1R2/MIF/SHFL/DDX60/ATG7/IFI35/OAS2/CARD16/USP18/PARP9/ROMO1/BST2/CASP4/FAU/FOXP1/HMGN2/PELI1/STAT2/ANKHD1/SP100/THBS1/IFIH1/JAK2/LGALS3BP/GBP4/FCGR1A/ZNFX1/ZBP1/PML/TAP1/SP140/STAT3/NINJ1/LGALS9/CALHM6/CYBC1/RBM47/IRF9/HDAC9
GO:0042254,ribosome biogenesis,57,0.454353784,1.876098945,0.001544065,0.043252412,0.038949201,184,"tags=25%, list=8%, signal=23%",RPS13/RPL26/RPS25/RPL24/RPS28/ISG20/RPS27/RPS14/RPS17/RPS15A/RPS27A/RBIS/RPS21/RPS15
GO:0009141,nucleoside triphosphate metabolic process,66,0.436267017,1.827489861,0.001157066,0.034937394,0.031461449,392,"tags=33%, list=17%, signal=29%",ATP6V0C/ALDOA/ATP5ME/NME2/NDUFA11/ATP5F1E/HSPA8/NDUFA13/NDUFB8/NDUFB1/NDUFA3/ATP5MC2/NDUFC1/ZBTB20/NDUFA7/CMPK2/NDUFA2/ATP5PD/NDUFA12/STAT3/ATP5MF/NDUFA1
GO:1901137,carbohydrate derivative biosynthetic process,89,0.412053969,1.827315608,0.000742867,0.026056567,0.023464182,423,"tags=30%, list=18%, signal=26%",ATP6V0C/ALDOA/ATP5ME/NME2/NDUFA11/ATP5F1E/TMEM258/CHST11/KRTCAP2/NDUFA13/NDUFB8/EXT1/NDUFB1/NDUFA3/BCL2/ATP5MC2/NDUFC1/NDUFA7/OST4/CMPK2/NDUFA2/ATP5PD/NDUFA12/ATP5MF/NDUFA1/GMDS/TMTC2
GO:0009199,ribonucleoside triphosphate metabolic process,63,0.435440235,1.819992625,0.002009485,0.049179506,0.044286605,392,"tags=33%, list=17%, signal=29%",ATP6V0C/ALDOA/ATP5ME/NME2/NDUFA11/ATP5F1E/HSPA8/NDUFA13/NDUFB8/NDUFB1/NDUFA3/ATP5MC2/NDUFC1/ZBTB20/NDUFA7/NDUFA2/ATP5PD/NDUFA12/STAT3/ATP5MF/NDUFA1
GO:0009205,purine ribonucleoside triphosphate metabolic process,63,0.435440235,1.819992625,0.002009485,0.049179506,0.044286605,392,"tags=33%, list=17%, signal=29%",ATP6V0C/ALDOA/ATP5ME/NME2/NDUFA11/ATP5F1E/HSPA8/NDUFA13/NDUFB8/NDUFB1/NDUFA3/ATP5MC2/NDUFC1/ZBTB20/NDUFA7/NDUFA2/ATP5PD/NDUFA12/STAT3/ATP5MF/NDUFA1
GO:1902600,proton transmembrane transport,54,0.441856545,1.813820192,0.002063061,0.049964766,0.044993738,493,"tags=39%, list=21%, signal=32%",RNASEK/ATP6V0C/ATP5ME/ATP5F1E/NDUFA4/NDUFB8/NDUFB1/NDUFA3/ATP5MC2/NDUFC1/NDUFA7/NDUFA2/ATP5PD/NDUFA12/ATP5MF/NDUFA1/SLC9A9/PHB2/ATP6V1E1/COX17/NDUFC2
GO:0019221,cytokine-mediated signaling pathway,113,0.388408321,1.789517174,0.000662267,0.024058927,0.021665289,330,"tags=28%, list=14%, signal=26%",IFITM1/IFI27/IFITM3/ISG15/MX1/IRF7/PPBP/CSF3R/CCL5/STAT1/IFITM2/LILRB2/OAS3/ACSL1/OAS1/OASL/IL7R/EXT1/CXCL10/IL2RG/IL1R2/OAS2/CARD16/USP18/PARP9/CASP4/STAT2/SP100/IFIH1/JAK2/CSNK2B/ZBP1
