ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0140546,defense response to symbiont,119,-0.515500621,-2.253354704,2.72E-08,2.75E-06,2.56E-06,115,"tags=36%, list=15%, signal=36%",YWHAZ/HMGB2/S100A9/S100A8/ZNFX1/NMI/HSP90AA1/ADAR/IFITM2/ZC3HAV1/B2M/ZBP1/USP18/APOBEC3A/TNFAIP3/OASL/CCL5/HSPA8/EIF2AK2/TRIM22/SERPING1/IFITM3/HERC5/BCL2/CXCL10/IFI44L/STAT1/GBP5/GBP1/IFIT2/IFIT3/NKG7/RSAD2/MX1/IFI6/IFIT1/JCHAIN/GNLY/IFI27/DEFA3/ISG15/ISG20/IFITM1
GO:0044419,biological process involved in interspecies interaction between organisms,163,-0.47808156,-2.146300027,2.66E-08,2.75E-06,2.56E-06,120,"tags=34%, list=16%, signal=36%",STAT2/SAP30/YWHAZ/CHMP5/HMGB2/S100A9/S100A8/ZNFX1/NMI/HSP90AA1/RNF213/ADAR/IFITM2/ZC3HAV1/B2M/HSP90AB1/CALR/ZBP1/HERC6/USP18/APOBEC3A/TNFAIP3/LY6E/OASL/CCL5/CXCR4/HSPA8/EIF2AK2/TRIM22/SERPING1/IFITM3/HERC5/BCL2/CXCL10/IFI44L/STAT1/PLAC8/GBP5/GBP1/IFIT2/IFIT3/NKG7/RSAD2/MX1/IFI6/IFIT1/JCHAIN/GNLY/IL7R/IFI27/DEFA3/FKBP5/ISG15/ISG20/IFITM1
GO:0051707,response to other organism,154,-0.481196001,-2.150383307,3.09E-08,2.88E-06,2.68E-06,115,"tags=33%, list=15%, signal=35%",YWHAZ/CHMP5/HMGB2/S100A9/S100A8/ZNFX1/NMI/HSP90AA1/RNF213/ADAR/IFITM2/ZC3HAV1/B2M/CALR/ZBP1/HERC6/USP18/APOBEC3A/TNFAIP3/OASL/CCL5/CXCR4/HSPA8/EIF2AK2/TRIM22/SERPING1/IFITM3/HERC5/BCL2/CXCL10/IFI44L/STAT1/PLAC8/GBP5/GBP1/IFIT2/IFIT3/NKG7/RSAD2/MX1/IFI6/IFIT1/JCHAIN/GNLY/IL7R/IFI27/DEFA3/FKBP5/ISG15/ISG20/IFITM1
GO:0048525,negative regulation of viral process,25,-0.761055954,-2.576242979,4.46E-08,3.49E-06,3.25E-06,103,"tags=72%, list=14%, signal=64%",ZNFX1/RESF1/IFITM2/ZC3HAV1/APOBEC3A/LY6E/OASL/CCL5/EIF2AK2/IFITM3/STAT1/RSAD2/MX1/IL32/IFIT1/ISG15/ISG20/IFITM1
GO:0009607,response to biotic stimulus,159,-0.483413747,-2.160656834,4.55E-08,3.49E-06,3.25E-06,115,"tags=33%, list=15%, signal=36%",YWHAZ/CHMP5/HMGB2/S100A9/S100A8/ZNFX1/NMI/HSP90AA1/HSPA5/RNF213/ADAR/IFITM2/ZC3HAV1/B2M/TXNIP/CALR/ZBP1/HERC6/USP18/APOBEC3A/TNFAIP3/OASL/CCL5/CXCR4/HSPA8/EIF2AK2/TRIM22/SERPING1/IFITM3/HERC5/BCL2/CXCL10/IFI44L/STAT1/PLAC8/GBP5/GBP1/IFIT2/IFIT3/NKG7/RSAD2/MX1/IFI6/IFIT1/JCHAIN/GNLY/IL7R/IFI27/DEFA3/FKBP5/ISG15/ISG20/IFITM1
GO:0043207,response to external biotic stimulus,155,-0.479005788,-2.137754136,4.61E-08,3.49E-06,3.25E-06,115,"tags=33%, list=15%, signal=35%",YWHAZ/CHMP5/HMGB2/S100A9/S100A8/ZNFX1/NMI/HSP90AA1/RNF213/ADAR/IFITM2/ZC3HAV1/B2M/CALR/ZBP1/HERC6/USP18/APOBEC3A/TNFAIP3/OASL/CCL5/CXCR4/HSPA8/EIF2AK2/TRIM22/SERPING1/IFITM3/HERC5/BCL2/CXCL10/IFI44L/STAT1/PLAC8/GBP5/GBP1/IFIT2/IFIT3/NKG7/RSAD2/MX1/IFI6/IFIT1/JCHAIN/GNLY/IL7R/IFI27/DEFA3/FKBP5/ISG15/ISG20/IFITM1
GO:0002399,MHC class II protein complex assembly,10,0.844163062,2.695209946,9.30E-08,6.26E-06,5.82E-06,66,"tags=90%, list=9%, signal=83%",HLA-DPB1/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRB5/HLA-DMA/HLA-DMB
GO:0002503,peptide antigen assembly with MHC class II protein complex,10,0.844163062,2.695209946,9.30E-08,6.26E-06,5.82E-06,66,"tags=90%, list=9%, signal=83%",HLA-DPB1/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRB5/HLA-DMA/HLA-DMB
GO:0002478,antigen processing and presentation of exogenous peptide antigen,16,0.72875123,2.92705617,1.17E-07,7.43E-06,6.92E-06,82,"tags=69%, list=11%, signal=63%",HLA-DPB1/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQB1/CD74/HLA-DRB5/HLA-DMA/HLA-DMB/CTSS
GO:0050792,regulation of viral process,35,-0.691798018,-2.52563028,1.87E-07,1.13E-05,1.05E-05,103,"tags=63%, list=14%, signal=57%",ZNFX1/RESF1/ADAR/IFITM2/ZC3HAV1/APOBEC3A/LY6E/OASL/CCL5/CXCR4/EIF2AK2/TRIM22/IFITM3/BCL2/STAT1/RSAD2/MX1/IL32/IFIT1/ISG15/ISG20/IFITM1
GO:0019884,antigen processing and presentation of exogenous antigen,17,0.701198169,2.855356242,1.96E-07,1.13E-05,1.05E-05,82,"tags=65%, list=11%, signal=59%",HLA-DPB1/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQB1/CD74/HLA-DRB5/HLA-DMA/HLA-DMB/CTSS
GO:0019058,viral life cycle,44,-0.645508697,-2.471671315,2.95E-07,1.55E-05,1.44E-05,112,"tags=57%, list=15%, signal=51%",CHMP5/ZNFX1/RESF1/ADAR/IFITM2/ZC3HAV1/HSP90AB1/APOBEC3A/LY6E/OASL/CCL5/CXCR4/HSPA8/EIF2AK2/TRIM22/IFITM3/BCL2/RSAD2/MX1/IL32/IFIT1/IFI27/ISG15/ISG20/IFITM1
GO:0034340,response to type I interferon,18,-0.785450099,-2.427662376,3.02E-07,1.55E-05,1.44E-05,88,"tags=67%, list=12%, signal=60%",ADAR/IFITM2/ZBP1/USP18/OASL/IFITM3/STAT1/MX1/IFIT1/IFI27/ISG15/IFITM1
GO:0045087,innate immune response,111,-0.50574691,-2.19232819,3.07E-07,1.55E-05,1.44E-05,115,"tags=37%, list=15%, signal=37%",STAT2/YWHAZ/HMGB2/S100A9/S100A8/ZNFX1/NMI/HSP90AA1/ADAR/IFITM2/ZC3HAV1/B2M/ZBP1/USP18/APOBEC3A/TNFAIP3/OASL/CCL5/HSPA8/EIF2AK2/TRIM22/SERPING1/IFITM3/HERC5/CXCL10/STAT1/GBP5/GBP1/IFIT2/IFIT3/NKG7/RSAD2/MX1/IFI6/IFIT1/JCHAIN/IFI27/DEFA3/ISG15/ISG20/IFITM1
GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,14,0.742531199,2.839404071,3.68E-07,1.78E-05,1.66E-05,82,"tags=79%, list=11%, signal=71%",HLA-DPB1/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQB1/CD74/HLA-DRB5/HLA-DMA/HLA-DMB/CTSS
GO:0002250,adaptive immune response,64,-0.585177915,-2.342077676,3.91E-07,1.82E-05,1.70E-05,67,"tags=33%, list=9%, signal=33%",SAMSN1/TNFAIP3/HSPA8/CD7/SERPING1/CD3E/IGHV3-11/RSAD2/JCHAIN/IGKV1-9/IL7R/IGLV10-54/IGHV3-23/IGHV7-4-1/IGLV1-44/IGLV2-18/IGKV5-2/IGKV3-15/IGKC/IGHV1-18/IGKV1-5
GO:1903900,regulation of viral life cycle,31,-0.696929889,-2.4694752,5.74E-07,2.58E-05,2.40E-05,103,"tags=65%, list=14%, signal=58%",ZNFX1/RESF1/ADAR/IFITM2/ZC3HAV1/APOBEC3A/LY6E/OASL/CCL5/EIF2AK2/TRIM22/IFITM3/BCL2/RSAD2/MX1/IL32/IFIT1/ISG15/ISG20/IFITM1
GO:0006952,defense response,177,-0.441567704,-2.007879184,8.58E-07,3.72E-05,3.46E-05,89,"tags=29%, list=12%, signal=34%",HMGB2/S100A9/S100A8/ZNFX1/NMI/HSP90AA1/RNF213/ADAR/IFITM2/ZC3HAV1/B2M/PER1/TXNIP/ZBP1/CD163/THBS1/USP18/APOBEC3A/TNFAIP3/OASL/CCL5/CXCR4/HSPA8/EIF2AK2/TRIM22/SERPING1/IFITM3/HERC5/BCL2/IL1R2/CXCL10/IFI44L/STAT1/PLAC8/GBP5/GBP1/IFIT2/IFIT3/NKG7/RSAD2/MX1/IFI6/IL32/IFIT1/JCHAIN/GNLY/IL7R/IFI27/DEFA3/ISG15/ISG20/IFITM1
GO:0016032,viral process,54,-0.591482247,-2.315617011,1.23E-06,5.13E-05,4.77E-05,103,"tags=48%, list=14%, signal=45%",CHMP5/ZNFX1/RESF1/ADAR/IFITM2/ZC3HAV1/HSP90AB1/APOBEC3A/LY6E/OASL/CCL5/CXCR4/HSPA8/EIF2AK2/TRIM22/IFITM3/BCL2/STAT1/RSAD2/MX1/IL32/IFIT1/IFI27/ISG15/ISG20/IFITM1
GO:0050896,response to stimulus,448,-0.36652254,-1.684265251,1.65E-06,6.67E-05,6.21E-05,116,"tags=21%, list=16%, signal=44%",TAGAP/YWHAZ/CLEC2D/ERAP2/CHMP5/HMGB2/S100A9/RASA2/S100A8/ARHGEF3/ZNFX1/NMI/HSP90B1/ARHGAP15/HSP90AA1/HSPA5/CBLB/DOCK10/RNF213/ADAR/PDE3B/IFITM2/ZC3HAV1/B2M/HSP90AB1/PER1/TXNIP/CALR/RIPOR2/ZBP1/HERC6/CD163/THBS1/USP18/APOBEC3A/SAMSN1/TNFAIP3/MYL12A/LY6E/OASL/CCL5/CXCR4/CCND3/SMCHD1/HSPA8/CD7/EIF2AK2/TRIM22/SERPING1/IFITM3/HERC5/ACSL1/BCL2/MT2A/IL1R2/CXCL10/IFI44L/STAT1/LTB/PLAC8/GBP5/GBP1/CD3E/IFIT2/IFIT3/NKG7/IGHV3-11/RSAD2/MX1/IFI6/IL32/IFIT1/JCHAIN/IGKV1-9/GNLY/IL7R/IFI27/DEFA3/FKBP5/ISG15/IGLV10-54/IGHV3-23/ISG20/IGHV7-4-1/IGLV1-44/IGLV2-18/IGKV5-2/IGKV3-15/IFITM1/IGKC/IGHV1-18/IGKV1-5
GO:0140374,antiviral innate immune response,11,-0.841407441,-2.257980125,2.02E-06,7.91E-05,7.36E-05,74,"tags=82%, list=10%, signal=75%",ZBP1/USP18/OASL/EIF2AK2/CXCL10/IFIT2/IFIT3/MX1/IFIT1
GO:0071357,cellular response to type I interferon,17,-0.773755791,-2.387958912,2.28E-06,8.65E-05,8.05E-05,88,"tags=65%, list=12%, signal=58%",ADAR/IFITM2/ZBP1/USP18/OASL/IFITM3/STAT1/IFIT1/IFI27/ISG15/IFITM1
GO:0009605,response to external stimulus,195,-0.41845449,-1.916788706,4.18E-06,0.000153675,0.000142944,115,"tags=28%, list=15%, signal=32%",YWHAZ/CHMP5/HMGB2/S100A9/S100A8/ZNFX1/NMI/HSP90AA1/RNF213/ADAR/IFITM2/ZC3HAV1/B2M/PER1/TXNIP/CALR/RIPOR2/ZBP1/HERC6/THBS1/USP18/APOBEC3A/TNFAIP3/OASL/CCL5/CXCR4/HSPA8/EIF2AK2/TRIM22/SERPING1/IFITM3/HERC5/BCL2/CXCL10/IFI44L/STAT1/PLAC8/GBP5/GBP1/IFIT2/IFIT3/NKG7/RSAD2/MX1/IFI6/IFIT1/JCHAIN/GNLY/IL7R/IFI27/DEFA3/FKBP5/ISG15/ISG20/IFITM1
GO:0002396,MHC protein complex assembly,13,0.711622012,2.600321068,5.48E-06,0.000189929,0.000176667,66,"tags=69%, list=9%, signal=64%",HLA-DPB1/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRB5/HLA-DMA/HLA-DMB
GO:0002501,peptide antigen assembly with MHC protein complex,13,0.711622012,2.600321068,5.48E-06,0.000189929,0.000176667,66,"tags=69%, list=9%, signal=64%",HLA-DPB1/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRB5/HLA-DMA/HLA-DMB
GO:0048002,antigen processing and presentation of peptide antigen,20,0.605682129,2.630826524,1.04E-05,0.000350781,0.000326286,82,"tags=55%, list=11%, signal=50%",HLA-DPB1/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQB1/CD74/HLA-DRB5/HLA-DMA/HLA-DMB/CTSS
