ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0014070,response to organic cyclic compound,155,-0.325049809,-1.969266527,1.42E-05,0.001722564,0.001587649,504,"tags=33%, list=18%, signal=29%",PARK7/YWHAH/URI1/HSP90B1/TPR/CDKN2D/TMF1/GNAI3/CEBPA/NPM1/NCOA4/CALR/TSPO/PTPRC/HMGB2/HNRNPU/TIPARP/DNAJA1/CYBB/MSN/CXCR4/ZBTB7A/CD83/PTGS2/ARL6IP5/HSP90AA1/EGR1/ANXA1/MBD2/RPL27/ZFP36L1/P2RY13/DDX5/SOD2/PMAIP1/DUSP6/TXNIP/CYP1B1/GNAS/ZFP36/ZFP36L2/NFKBIZ/JUNB/NFKBIA/IL1B/KLF4/KLF2/FOS/JUND/FOSB/JUN
GO:0009410,response to xenobiotic stimulus,60,-0.39210765,-1.981789315,0.000680155,0.023843204,0.021975761,588,"tags=38%, list=21%, signal=31%",FOSL2/RBM22/FBP1/CAT/ATP1A1/NCKAP1L/HADHA/CALR/TSPO/BLOC1S6/XRCC5/CYBB/CXCR4/PTGS2/HSP90AA1/SOD2/DUSP6/TXNIP/CYP1B1/NFKBIZ/IL1B/FOS/FOSB
GO:0033002,muscle cell proliferation,42,-0.446071913,-2.061087792,0.000457246,0.016971894,0.015642625,219,"tags=24%, list=8%, signal=22%",TRIB1/PTGS2/GNAI2/SOD2/EREG/TNFAIP3/ID2/KLF4/FOS/JUN
GO:0045444,fat cell differentiation,51,-0.434922333,-2.083912025,0.000168013,0.00853905,0.007870256,256,"tags=29%, list=9%, signal=27%",ZBTB7A/METRNL/ARL4A/PTGS2/ZFP36L1/SOD2/MAFB/ZFP36/ZFP36L2/RGS2/CEBPB/NR4A2/CEBPD/ID2/KLF4
GO:0045765,regulation of angiogenesis,56,-0.423740115,-2.092045996,0.000230412,0.010573827,0.009745666,733,"tags=48%, list=26%, signal=36%",SP1/QKI/HLA-G/CCR2/HHEX/WNK1/CTNNB1/MTDH/RGCC/TNFSF12/EMILIN2/GRN/CTSH/HIPK1/RHOB/CYBB/GTF2I/GLUL/CXCR4/C5AR1/CYP1B1/BTG1/TNFAIP3/IL1B/KLF4/KLF2/CXCL8
GO:1901342,regulation of vasculature development,56,-0.423740115,-2.092045996,0.000230412,0.010573827,0.009745666,733,"tags=48%, list=26%, signal=36%",SP1/QKI/HLA-G/CCR2/HHEX/WNK1/CTNNB1/MTDH/RGCC/TNFSF12/EMILIN2/GRN/CTSH/HIPK1/RHOB/CYBB/GTF2I/GLUL/CXCR4/C5AR1/CYP1B1/BTG1/TNFAIP3/IL1B/KLF4/KLF2/CXCL8
GO:0048659,smooth muscle cell proliferation,30,-0.50803346,-2.105587102,0.000411239,0.016579608,0.015281063,300,"tags=33%, list=11%, signal=30%",XRCC5/TRIB1/PTGS2/GNAI2/SOD2/EREG/TNFAIP3/ID2/KLF4/JUN
GO:0048660,regulation of smooth muscle cell proliferation,30,-0.50803346,-2.105587102,0.000411239,0.016579608,0.015281063,300,"tags=33%, list=11%, signal=30%",XRCC5/TRIB1/PTGS2/GNAI2/SOD2/EREG/TNFAIP3/ID2/KLF4/JUN
GO:0050886,endocrine process,10,-0.721150669,-2.122654962,0.000595223,0.021462053,0.019781106,447,"tags=70%, list=16%, signal=59%",TMF1/RETN/TSPO/RAB11FIP1/ATP6AP2/CTSZ/IL1B
GO:0048545,response to steroid hormone,70,-0.41517729,-2.128024455,5.47E-05,0.00445123,0.004102602,504,"tags=39%, list=18%, signal=32%",PARK7/YWHAH/URI1/TMF1/NCOA4/CALR/TSPO/PTPRC/HMGB2/HNRNPU/DNAJA1/CYBB/ZBTB7A/PTGS2/ANXA1/RPL27/ZFP36L1/DDX5/TXNIP/CYP1B1/ZFP36/ZFP36L2/JUNB/FOS/JUND/FOSB/JUN
